image_id,identity
3,SalamanderID2025_633
5,SalamanderID2025_137
12,new_individual
13,new_individual
18,SeaTurtleID2022_t306
19,new_individual
27,SalamanderID2025_39
33,new_individual
36,new_individual
45,LynxID2025_lynx_95
46,new_individual
47,SalamanderID2025_67
48,SalamanderID2025_191
49,SalamanderID2025_119
55,new_individual
58,SeaTurtleID2022_t331
61,LynxID2025_lynx_43
62,new_individual
63,new_individual
64,SeaTurtleID2022_t048
65,SeaTurtleID2022_t044
67,SeaTurtleID2022_t044
68,SeaTurtleID2022_t321
74,new_individual
81,LynxID2025_lynx_43
84,SalamanderID2025_39
85,LynxID2025_lynx_72
86,new_individual
89,LynxID2025_lynx_72
90,LynxID2025_lynx_42
94,SeaTurtleID2022_t104
97,LynxID2025_lynx_43
98,new_individual
106,new_individual
113,SalamanderID2025_137
123,SeaTurtleID2022_t001
124,new_individual
126,new_individual
131,SalamanderID2025_500
137,new_individual
139,SalamanderID2025_474
145,new_individual
150,SalamanderID2025_39
163,SalamanderID2025_119
166,SeaTurtleID2022_t020
167,SeaTurtleID2022_t044
168,new_individual
171,new_individual
173,SalamanderID2025_480
182,SalamanderID2025_446
183,new_individual
186,new_individual
188,new_individual
190,new_individual
192,SalamanderID2025_517
195,new_individual
202,new_individual
203,SeaTurtleID2022_t048
205,SalamanderID2025_261
209,new_individual
210,SeaTurtleID2022_t407
213,new_individual
216,LynxID2025_lynx_57
219,new_individual
221,LynxID2025_lynx_36
228,new_individual
231,SalamanderID2025_500
240,SeaTurtleID2022_t048
242,SeaTurtleID2022_t241
245,SalamanderID2025_119
264,new_individual
266,SeaTurtleID2022_t037
273,SeaTurtleID2022_t110
276,SalamanderID2025_39
280,SalamanderID2025_633
282,new_individual
286,SeaTurtleID2022_t048
289,SeaTurtleID2022_t048
293,new_individual
294,SeaTurtleID2022_t148
296,SeaTurtleID2022_t148
311,SalamanderID2025_500
312,new_individual
315,new_individual
338,SeaTurtleID2022_t048
347,SalamanderID2025_67
357,SeaTurtleID2022_t048
359,new_individual
361,new_individual
366,LynxID2025_lynx_42
368,new_individual
373,SalamanderID2025_599
375,new_individual
378,new_individual
380,SalamanderID2025_290
397,new_individual
411,SeaTurtleID2022_t497
415,LynxID2025_lynx_13
422,new_individual
423,SeaTurtleID2022_t148
424,SalamanderID2025_429
427,SeaTurtleID2022_t048
429,SeaTurtleID2022_t048
431,LynxID2025_lynx_43
432,new_individual
437,SeaTurtleID2022_t044
439,SeaTurtleID2022_t148
443,LynxID2025_lynx_72
454,new_individual
459,new_individual
465,LynxID2025_lynx_72
469,SalamanderID2025_137
470,SeaTurtleID2022_t067
474,SalamanderID2025_327
475,new_individual
478,SalamanderID2025_454
479,SeaTurtleID2022_t296
480,new_individual
481,new_individual
482,SeaTurtleID2022_t079
491,SalamanderID2025_137
494,SeaTurtleID2022_t044
500,SalamanderID2025_513
501,SalamanderID2025_137
507,new_individual
509,SalamanderID2025_119
512,SeaTurtleID2022_t048
515,LynxID2025_lynx_72
516,SeaTurtleID2022_t382
519,new_individual
520,SeaTurtleID2022_t048
522,SeaTurtleID2022_t048
524,SeaTurtleID2022_t497
526,new_individual
530,SalamanderID2025_543
537,new_individual
544,SalamanderID2025_500
547,new_individual
549,LynxID2025_lynx_95
551,LynxID2025_lynx_72
552,LynxID2025_lynx_43
555,SeaTurtleID2022_t028
559,SeaTurtleID2022_t048
562,new_individual
565,SeaTurtleID2022_t048
567,SeaTurtleID2022_t044
569,SeaTurtleID2022_t610
570,LynxID2025_lynx_43
573,new_individual
577,new_individual
578,SeaTurtleID2022_t379
579,SeaTurtleID2022_t044
580,new_individual
583,LynxID2025_lynx_43
584,LynxID2025_lynx_72
588,SeaTurtleID2022_t048
589,SalamanderID2025_39
591,SalamanderID2025_475
592,SeaTurtleID2022_t148
594,SalamanderID2025_119
595,new_individual
599,SeaTurtleID2022_t042
602,SalamanderID2025_446
603,SalamanderID2025_39
611,SeaTurtleID2022_t317
620,SalamanderID2025_87
625,new_individual
626,SalamanderID2025_24
628,SalamanderID2025_67
630,new_individual
636,SeaTurtleID2022_t148
643,new_individual
645,new_individual
648,SeaTurtleID2022_t048
649,SeaTurtleID2022_t264
651,SalamanderID2025_599
655,SeaTurtleID2022_t104
656,new_individual
662,SalamanderID2025_500
669,SeaTurtleID2022_t317
670,SeaTurtleID2022_t610
672,SeaTurtleID2022_t610
673,new_individual
676,new_individual
678,SeaTurtleID2022_t148
683,new_individual
685,new_individual
690,SeaTurtleID2022_t048
694,new_individual
699,new_individual
704,SeaTurtleID2022_t227
707,SeaTurtleID2022_t227
711,SeaTurtleID2022_t103
712,new_individual
713,SeaTurtleID2022_t044
715,SeaTurtleID2022_t264
719,SeaTurtleID2022_t379
722,new_individual
724,new_individual
726,SeaTurtleID2022_t323
730,SalamanderID2025_500
734,SalamanderID2025_500
735,SalamanderID2025_565
738,new_individual
739,SeaTurtleID2022_t044
741,SeaTurtleID2022_t264
749,SeaTurtleID2022_t104
750,SeaTurtleID2022_t048
751,SeaTurtleID2022_t048
753,new_individual
760,new_individual
761,SeaTurtleID2022_t048
764,SalamanderID2025_39
766,SalamanderID2025_500
770,LynxID2025_lynx_72
776,new_individual
781,SeaTurtleID2022_t044
782,new_individual
784,new_individual
786,new_individual
787,SeaTurtleID2022_t044
790,LynxID2025_lynx_43
791,SeaTurtleID2022_t048
793,new_individual
794,SeaTurtleID2022_t148
795,SeaTurtleID2022_t079
797,new_individual
798,new_individual
800,SeaTurtleID2022_t048
804,SeaTurtleID2022_t048
808,LynxID2025_lynx_43
817,SeaTurtleID2022_t260
819,SalamanderID2025_38
824,SeaTurtleID2022_t110
840,SeaTurtleID2022_t382
849,SeaTurtleID2022_t082
855,SeaTurtleID2022_t110
859,SalamanderID2025_144
865,SeaTurtleID2022_t235
871,SeaTurtleID2022_t148
872,new_individual
874,SalamanderID2025_315
881,SeaTurtleID2022_t044
886,new_individual
887,new_individual
893,SalamanderID2025_137
897,LynxID2025_lynx_95
904,LynxID2025_lynx_43
907,LynxID2025_lynx_43
915,new_individual
917,new_individual
920,new_individual
939,new_individual
941,new_individual
945,new_individual
951,SeaTurtleID2022_t044
962,LynxID2025_lynx_72
963,SeaTurtleID2022_t044
964,SalamanderID2025_441
969,new_individual
980,new_individual
983,SeaTurtleID2022_t250
985,SalamanderID2025_137
990,SeaTurtleID2022_t048
991,SalamanderID2025_144
992,SeaTurtleID2022_t610
994,SeaTurtleID2022_t048
995,SeaTurtleID2022_t079
1000,SeaTurtleID2022_t317
1001,new_individual
1005,SeaTurtleID2022_t264
1006,LynxID2025_lynx_72
1008,LynxID2025_lynx_43
1011,new_individual
1012,new_individual
1013,new_individual
1019,SeaTurtleID2022_t048
1021,new_individual
1031,LynxID2025_lynx_95
1034,new_individual
1039,new_individual
1042,SeaTurtleID2022_t048
1045,SeaTurtleID2022_t048
1046,LynxID2025_lynx_72
1047,SalamanderID2025_446
1048,SeaTurtleID2022_t082
1053,SeaTurtleID2022_t497
1055,LynxID2025_lynx_56
1057,new_individual
1060,new_individual
1064,SeaTurtleID2022_t048
1065,new_individual
1068,SalamanderID2025_39
1069,new_individual
1071,new_individual
1075,SeaTurtleID2022_t459
1089,new_individual
1090,SalamanderID2025_446
1094,new_individual
1095,SeaTurtleID2022_t436
1096,SalamanderID2025_641
1107,new_individual
1108,new_individual
1111,new_individual
1115,new_individual
1119,new_individual
1120,new_individual
1122,new_individual
1131,new_individual
1135,new_individual
1137,SeaTurtleID2022_t048
1139,SalamanderID2025_203
1143,new_individual
1147,SalamanderID2025_119
1153,new_individual
1154,new_individual
1162,new_individual
1163,SalamanderID2025_480
1164,SalamanderID2025_39
1175,LynxID2025_lynx_43
1182,SalamanderID2025_290
1191,SeaTurtleID2022_t020
1192,LynxID2025_lynx_43
1197,SeaTurtleID2022_t048
1198,SalamanderID2025_500
1203,new_individual
1205,new_individual
1207,SalamanderID2025_323
1209,new_individual
1211,LynxID2025_lynx_72
1213,new_individual
1214,SalamanderID2025_144
1221,SeaTurtleID2022_t148
1223,new_individual
1225,new_individual
1232,SalamanderID2025_500
1233,SalamanderID2025_144
1234,SalamanderID2025_67
1235,SalamanderID2025_480
1237,SeaTurtleID2022_t379
1245,LynxID2025_lynx_72
1247,SeaTurtleID2022_t264
1248,SeaTurtleID2022_t131
1249,SeaTurtleID2022_t131
1255,new_individual
1259,SeaTurtleID2022_t048
1264,new_individual
1266,SeaTurtleID2022_t048
1267,SeaTurtleID2022_t319
1270,SalamanderID2025_137
1271,SeaTurtleID2022_t168
1277,SeaTurtleID2022_t116
1278,SalamanderID2025_67
1280,SeaTurtleID2022_t044
1288,new_individual
1297,new_individual
1309,SeaTurtleID2022_t048
1311,SeaTurtleID2022_t048
1313,SeaTurtleID2022_t048
1318,SalamanderID2025_137
1322,new_individual
1325,SeaTurtleID2022_t044
1330,SeaTurtleID2022_t104
1335,SalamanderID2025_137
1343,new_individual
1345,new_individual
1349,new_individual
1351,new_individual
1353,new_individual
1363,new_individual
1367,new_individual
1368,new_individual
1370,SeaTurtleID2022_t048
1371,SeaTurtleID2022_t610
1375,SalamanderID2025_599
1385,SeaTurtleID2022_t048
1388,new_individual
1392,SeaTurtleID2022_t048
1394,new_individual
1399,new_individual
1403,new_individual
1406,LynxID2025_lynx_72
1410,new_individual
1413,SalamanderID2025_39
1416,new_individual
1421,new_individual
1425,SeaTurtleID2022_t042
1427,SeaTurtleID2022_t048
1428,new_individual
1431,new_individual
1432,SeaTurtleID2022_t048
1433,SalamanderID2025_498
1439,new_individual
1441,LynxID2025_lynx_43
1444,new_individual
1447,new_individual
1453,SeaTurtleID2022_t044
1454,LynxID2025_lynx_43
1455,new_individual
1457,new_individual
1465,SeaTurtleID2022_t264
1466,SeaTurtleID2022_t044
1474,SeaTurtleID2022_t048
1475,SeaTurtleID2022_t048
1491,SeaTurtleID2022_t110
1492,SeaTurtleID2022_t317
1493,LynxID2025_lynx_72
1494,SeaTurtleID2022_t379
1504,LynxID2025_lynx_95
1509,new_individual
1513,SeaTurtleID2022_t148
1525,new_individual
1526,SalamanderID2025_290
1527,SeaTurtleID2022_t373
1538,SeaTurtleID2022_t048
1539,SeaTurtleID2022_t048
1541,LynxID2025_lynx_43
1545,SeaTurtleID2022_t171
1546,SalamanderID2025_39
1547,new_individual
1550,new_individual
1557,SalamanderID2025_67
1559,SalamanderID2025_302
1566,new_individual
1573,SalamanderID2025_633
1574,new_individual
1575,new_individual
1578,LynxID2025_lynx_45
1580,new_individual
1583,SeaTurtleID2022_t250
1585,LynxID2025_lynx_74
1586,new_individual
1588,SeaTurtleID2022_t136
1592,SeaTurtleID2022_t497
1594,LynxID2025_lynx_43
1596,new_individual
1600,SeaTurtleID2022_t104
1607,SeaTurtleID2022_t379
1610,SalamanderID2025_67
1612,SeaTurtleID2022_t044
1615,SeaTurtleID2022_t148
1616,SalamanderID2025_137
1619,new_individual
1621,SeaTurtleID2022_t108
1625,SeaTurtleID2022_t048
1628,SeaTurtleID2022_t048
1631,SeaTurtleID2022_t048
1632,SeaTurtleID2022_t073
1641,new_individual
1643,new_individual
1651,SeaTurtleID2022_t048
1652,LynxID2025_lynx_40
1659,SalamanderID2025_39
1660,new_individual
1666,LynxID2025_lynx_43
1673,new_individual
1674,SeaTurtleID2022_t048
1681,new_individual
1684,new_individual
1688,new_individual
1689,new_individual
1694,new_individual
1701,SeaTurtleID2022_t379
1704,SeaTurtleID2022_t044
1714,SeaTurtleID2022_t171
1725,SeaTurtleID2022_t610
1726,SalamanderID2025_323
1728,new_individual
1735,LynxID2025_lynx_72
1743,SeaTurtleID2022_t048
1744,new_individual
1749,SeaTurtleID2022_t044
1759,SalamanderID2025_39
1774,SeaTurtleID2022_t044
1776,SeaTurtleID2022_t331
1777,new_individual
1790,new_individual
1795,SeaTurtleID2022_t610
1804,SeaTurtleID2022_t048
1806,SeaTurtleID2022_t148
1812,new_individual
1818,new_individual
1820,SalamanderID2025_67
1823,new_individual
1829,SalamanderID2025_137
1834,SalamanderID2025_500
1835,LynxID2025_lynx_95
1836,SeaTurtleID2022_t382
1840,SeaTurtleID2022_t048
1843,SalamanderID2025_137
1854,SeaTurtleID2022_t379
1861,SeaTurtleID2022_t379
1867,new_individual
1869,SeaTurtleID2022_t044
1870,LynxID2025_lynx_88
1871,SeaTurtleID2022_t436
1873,LynxID2025_lynx_43
1874,SeaTurtleID2022_t048
1878,SeaTurtleID2022_t048
1892,new_individual
1894,new_individual
1897,new_individual
1899,new_individual
1901,new_individual
1903,new_individual
1913,new_individual
1917,LynxID2025_lynx_47
1921,LynxID2025_lynx_43
1923,new_individual
1925,new_individual
1930,SalamanderID2025_446
1935,SeaTurtleID2022_t044
1936,SalamanderID2025_500
1937,LynxID2025_lynx_95
1939,new_individual
1941,new_individual
1943,SalamanderID2025_39
1945,new_individual
1951,SeaTurtleID2022_t610
1955,new_individual
1957,new_individual
1961,new_individual
1965,SeaTurtleID2022_t048
1969,new_individual
1971,SeaTurtleID2022_t103
1975,SeaTurtleID2022_t264
1981,SeaTurtleID2022_t028
1985,LynxID2025_lynx_95
1991,SeaTurtleID2022_t082
2005,SeaTurtleID2022_t325
2007,SeaTurtleID2022_t104
2008,SeaTurtleID2022_t044
2014,SeaTurtleID2022_t271
2029,new_individual
2030,new_individual
2035,new_individual
2037,new_individual
2038,SalamanderID2025_500
2040,SalamanderID2025_137
2044,new_individual
2049,SeaTurtleID2022_t148
2057,new_individual
2058,SeaTurtleID2022_t044
2078,SalamanderID2025_137
2079,new_individual
2081,LynxID2025_lynx_72
2082,LynxID2025_lynx_72
2086,new_individual
2090,SeaTurtleID2022_t044
2091,new_individual
2105,SeaTurtleID2022_t044
2106,SeaTurtleID2022_t088
2107,new_individual
2110,new_individual
2117,new_individual
2118,SeaTurtleID2022_t048
2119,SalamanderID2025_517
2124,LynxID2025_lynx_72
2127,SeaTurtleID2022_t264
2129,new_individual
2136,new_individual
2137,SeaTurtleID2022_t048
2144,new_individual
2146,SalamanderID2025_500
2151,new_individual
2161,SeaTurtleID2022_t131
2164,new_individual
2166,SeaTurtleID2022_t230
2169,new_individual
2170,LynxID2025_lynx_72
2174,LynxID2025_lynx_28
2178,SalamanderID2025_150
2184,LynxID2025_lynx_43
2190,SalamanderID2025_557
2196,SeaTurtleID2022_t250
2198,new_individual
2200,new_individual
2205,LynxID2025_lynx_43
2207,new_individual
2208,new_individual
2219,new_individual
2220,SalamanderID2025_24
2222,new_individual
2226,LynxID2025_lynx_74
2228,new_individual
2231,SeaTurtleID2022_t048
2232,SeaTurtleID2022_t264
2235,new_individual
2246,SeaTurtleID2022_t103
2248,new_individual
2257,new_individual
2265,SeaTurtleID2022_t168
2268,new_individual
2272,SalamanderID2025_315
2283,new_individual
2290,new_individual
2292,LynxID2025_lynx_47
2293,new_individual
2294,new_individual
2301,new_individual
2303,new_individual
2307,SalamanderID2025_39
2313,new_individual
2320,new_individual
2322,SeaTurtleID2022_t048
2324,new_individual
2326,new_individual
2330,SeaTurtleID2022_t048
2336,new_individual
2338,SalamanderID2025_500
2343,SeaTurtleID2022_t436
2369,new_individual
2375,new_individual
2379,new_individual
2385,LynxID2025_lynx_47
2388,SeaTurtleID2022_t264
2389,SeaTurtleID2022_t291
2390,new_individual
2399,SalamanderID2025_475
2403,new_individual
2404,new_individual
2406,SalamanderID2025_50
2408,LynxID2025_lynx_40
2409,new_individual
2411,SeaTurtleID2022_t043
2426,SeaTurtleID2022_t285
2435,new_individual
2437,new_individual
2441,new_individual
2469,new_individual
2472,SalamanderID2025_446
2473,SeaTurtleID2022_t168
2477,new_individual
2478,SalamanderID2025_641
2487,SeaTurtleID2022_t294
2491,SalamanderID2025_500
2495,new_individual
2496,new_individual
2501,SalamanderID2025_498
2511,SalamanderID2025_633
2512,SeaTurtleID2022_t048
2518,LynxID2025_lynx_95
2525,SalamanderID2025_446
2527,new_individual
2529,new_individual
2530,SeaTurtleID2022_t103
2534,LynxID2025_lynx_43
2544,SeaTurtleID2022_t168
2545,new_individual
2546,new_individual
2549,SeaTurtleID2022_t044
2552,SeaTurtleID2022_t168
2554,new_individual
2555,LynxID2025_lynx_72
2562,LynxID2025_lynx_72
2564,LynxID2025_lynx_72
2580,SeaTurtleID2022_t382
2591,SeaTurtleID2022_t405
2592,SalamanderID2025_500
2601,new_individual
2606,new_individual
2613,LynxID2025_lynx_41
2625,new_individual
2626,LynxID2025_lynx_43
2631,SeaTurtleID2022_t073
2638,new_individual
2643,SeaTurtleID2022_t110
2644,new_individual
2648,new_individual
2654,LynxID2025_lynx_43
2655,SalamanderID2025_652
2657,SeaTurtleID2022_t044
2687,new_individual
2689,SalamanderID2025_137
2705,SeaTurtleID2022_t044
2706,SeaTurtleID2022_t044
2709,SalamanderID2025_205
2713,SeaTurtleID2022_t048
2718,new_individual
2721,new_individual
2724,new_individual
2725,SeaTurtleID2022_t048
2726,new_individual
2731,SeaTurtleID2022_t264
2733,SeaTurtleID2022_t048
2734,SeaTurtleID2022_t110
2744,new_individual
2754,SeaTurtleID2022_t048
2758,new_individual
2759,LynxID2025_lynx_95
2760,SalamanderID2025_39
2770,SeaTurtleID2022_t168
2787,new_individual
2789,LynxID2025_lynx_50
2790,new_individual
2794,SeaTurtleID2022_t044
2797,new_individual
2801,SalamanderID2025_302
2803,SeaTurtleID2022_t066
2807,SeaTurtleID2022_t382
2811,SalamanderID2025_480
2812,new_individual
2823,SeaTurtleID2022_t048
2829,new_individual
2831,SeaTurtleID2022_t261
2834,LynxID2025_lynx_40
2840,SalamanderID2025_500
2841,new_individual
2844,LynxID2025_lynx_43
2845,new_individual
2846,new_individual
2847,SalamanderID2025_144
2848,new_individual
2851,SeaTurtleID2022_t048
2865,LynxID2025_lynx_72
2871,SalamanderID2025_39
2873,new_individual
2876,LynxID2025_lynx_95
2889,LynxID2025_lynx_72
2893,new_individual
2894,SalamanderID2025_513
2896,LynxID2025_lynx_72
2914,SalamanderID2025_144
2920,SalamanderID2025_290
2921,new_individual
2933,SeaTurtleID2022_t048
2934,SalamanderID2025_565
2942,new_individual
2948,LynxID2025_lynx_47
2949,SeaTurtleID2022_t048
2951,new_individual
2952,LynxID2025_lynx_47
2957,SeaTurtleID2022_t610
2961,new_individual
2963,new_individual
2968,SeaTurtleID2022_t343
2973,SeaTurtleID2022_t610
2976,SeaTurtleID2022_t148
2978,new_individual
2981,new_individual
2985,SalamanderID2025_488
2999,SalamanderID2025_500
3001,SeaTurtleID2022_t048
3003,new_individual
3007,SalamanderID2025_500
3013,new_individual
3014,SalamanderID2025_633
3018,new_individual
3020,SalamanderID2025_327
3021,SalamanderID2025_39
3027,SalamanderID2025_119
3029,SeaTurtleID2022_t048
3032,new_individual
3034,SeaTurtleID2022_t405
3035,new_individual
3036,SeaTurtleID2022_t168
3037,SalamanderID2025_500
3038,LynxID2025_lynx_43
3045,new_individual
3046,SalamanderID2025_144
3055,SeaTurtleID2022_t227
3059,new_individual
3069,LynxID2025_lynx_72
3074,LynxID2025_lynx_07
3086,new_individual
3090,LynxID2025_lynx_09
3091,LynxID2025_lynx_95
3097,new_individual
3099,SeaTurtleID2022_t044
3106,new_individual
3108,SalamanderID2025_500
3111,LynxID2025_lynx_72
3116,SalamanderID2025_144
3118,new_individual
3130,LynxID2025_lynx_95
3133,SalamanderID2025_500
3138,LynxID2025_lynx_49
3142,SeaTurtleID2022_t264
3144,SalamanderID2025_39
3153,SalamanderID2025_500
3155,SeaTurtleID2022_t044
3156,new_individual
3157,LynxID2025_lynx_18
3167,LynxID2025_lynx_43
3177,SalamanderID2025_39
3178,SeaTurtleID2022_t044
3181,SalamanderID2025_557
3183,new_individual
3193,SeaTurtleID2022_t048
3201,SalamanderID2025_500
3204,new_individual
3205,new_individual
3215,new_individual
3217,LynxID2025_lynx_95
3220,SalamanderID2025_39
3221,new_individual
3222,LynxID2025_lynx_72
3231,SalamanderID2025_67
3232,SeaTurtleID2022_t048
3239,SeaTurtleID2022_t379
3242,new_individual
3245,new_individual
3249,SeaTurtleID2022_t044
3256,SalamanderID2025_39
3259,SeaTurtleID2022_t294
3261,SeaTurtleID2022_t148
3263,SeaTurtleID2022_t131
3267,new_individual
3270,SalamanderID2025_39
3274,SeaTurtleID2022_t610
3277,SalamanderID2025_446
3281,new_individual
3284,LynxID2025_lynx_47
3286,new_individual
3287,SeaTurtleID2022_t422
3297,SalamanderID2025_39
3305,SalamanderID2025_144
3310,SeaTurtleID2022_t131
3314,LynxID2025_lynx_40
3323,SeaTurtleID2022_t264
3331,new_individual
3335,SalamanderID2025_39
3338,SeaTurtleID2022_t313
3339,new_individual
3344,SalamanderID2025_119
3348,LynxID2025_lynx_72
3352,new_individual
3353,SalamanderID2025_557
3356,new_individual
3357,SeaTurtleID2022_t148
3358,SeaTurtleID2022_t082
3366,SeaTurtleID2022_t044
3372,new_individual
3380,SeaTurtleID2022_t610
3382,SalamanderID2025_137
3386,LynxID2025_lynx_72
3389,SalamanderID2025_441
3390,SeaTurtleID2022_t037
3400,SeaTurtleID2022_t148
3401,SalamanderID2025_633
3409,new_individual
3412,new_individual
3416,SeaTurtleID2022_t048
3418,SalamanderID2025_124
3420,new_individual
3424,SeaTurtleID2022_t317
3427,new_individual
3429,new_individual
3434,LynxID2025_lynx_31
3435,LynxID2025_lynx_74
3436,new_individual
3437,LynxID2025_lynx_40
3439,SeaTurtleID2022_t048
3441,SalamanderID2025_302
3446,SeaTurtleID2022_t048
3449,new_individual
3450,new_individual
3452,new_individual
3469,new_individual
3474,new_individual
3477,LynxID2025_lynx_95
3480,new_individual
3481,LynxID2025_lynx_58
3484,SalamanderID2025_500
3487,new_individual
3490,SalamanderID2025_518
3494,SeaTurtleID2022_t430
3497,SeaTurtleID2022_t171
3500,new_individual
3501,LynxID2025_lynx_40
3502,LynxID2025_lynx_43
3508,new_individual
3511,LynxID2025_lynx_95
3513,LynxID2025_lynx_86
3521,new_individual
3524,SeaTurtleID2022_t254
3526,new_individual
3529,SalamanderID2025_39
3530,LynxID2025_lynx_43
3539,SalamanderID2025_633
3540,SalamanderID2025_543
3542,SeaTurtleID2022_t048
3545,LynxID2025_lynx_43
3548,SeaTurtleID2022_t379
3550,new_individual
3565,new_individual
3566,new_individual
3568,new_individual
3570,new_individual
3574,SeaTurtleID2022_t337
3582,SalamanderID2025_39
3585,new_individual
3595,new_individual
3597,LynxID2025_lynx_43
3605,new_individual
3626,new_individual
3633,new_individual
3638,SalamanderID2025_518
3643,SeaTurtleID2022_t048
3645,LynxID2025_lynx_47
3648,LynxID2025_lynx_18
3654,new_individual
3655,LynxID2025_lynx_43
3657,SeaTurtleID2022_t044
3660,SalamanderID2025_652
3666,SeaTurtleID2022_t148
3670,new_individual
3672,SeaTurtleID2022_t044
3675,SeaTurtleID2022_t044
3676,SeaTurtleID2022_t132
3677,SalamanderID2025_39
3682,new_individual
3690,SalamanderID2025_137
3691,LynxID2025_lynx_72
3692,new_individual
3696,LynxID2025_lynx_40
3698,SalamanderID2025_137
3706,SalamanderID2025_480
3725,SeaTurtleID2022_t048
3727,new_individual
3729,SalamanderID2025_108
3739,SeaTurtleID2022_t044
3749,SeaTurtleID2022_t148
3750,new_individual
3762,new_individual
3763,new_individual
3766,SeaTurtleID2022_t148
3768,new_individual
3793,new_individual
3794,SalamanderID2025_480
3808,new_individual
3822,SalamanderID2025_480
3823,new_individual
3836,new_individual
3837,SeaTurtleID2022_t110
3849,LynxID2025_lynx_74
3861,LynxID2025_lynx_72
3862,new_individual
3866,LynxID2025_lynx_72
3867,LynxID2025_lynx_43
3874,new_individual
3876,LynxID2025_lynx_43
3887,new_individual
3897,LynxID2025_lynx_43
3900,LynxID2025_lynx_43
3902,SeaTurtleID2022_t048
5291,new_individual
5292,new_individual
5293,new_individual
5294,new_individual
5295,new_individual
5296,new_individual
5297,new_individual
5298,new_individual
5299,new_individual
5300,new_individual
5301,new_individual
5302,new_individual
5303,new_individual
5304,new_individual
5305,new_individual
5306,new_individual
5307,new_individual
5308,new_individual
5309,new_individual
5310,new_individual
5311,new_individual
5312,new_individual
5313,new_individual
5314,new_individual
5315,new_individual
5316,new_individual
5317,new_individual
5318,new_individual
5319,new_individual
5320,new_individual
5321,new_individual
5322,new_individual
5323,new_individual
5324,new_individual
5325,new_individual
5326,new_individual
5327,new_individual
5328,new_individual
5329,new_individual
5330,new_individual
5331,new_individual
5332,new_individual
5333,new_individual
5334,SalamanderID2025_107
5335,new_individual
5336,new_individual
5337,new_individual
5338,new_individual
5339,new_individual
5340,new_individual
5341,new_individual
5342,new_individual
5343,new_individual
5344,new_individual
5345,new_individual
5346,new_individual
5347,new_individual
5348,new_individual
5349,new_individual
5350,new_individual
5351,new_individual
5352,new_individual
5353,new_individual
5354,new_individual
5355,new_individual
5356,new_individual
5357,new_individual
5358,new_individual
5359,new_individual
5360,new_individual
5361,new_individual
5362,new_individual
5363,new_individual
5364,new_individual
5365,new_individual
5366,new_individual
5367,new_individual
5368,new_individual
5369,SeaTurtleID2022_t568
5370,new_individual
5371,new_individual
5372,new_individual
5373,new_individual
5374,new_individual
5375,new_individual
5376,new_individual
5377,new_individual
5378,new_individual
5379,new_individual
5380,new_individual
5381,new_individual
5382,new_individual
5383,new_individual
5384,new_individual
5385,new_individual
5386,new_individual
5387,new_individual
5388,new_individual
5389,new_individual
5390,new_individual
5391,new_individual
5392,new_individual
5393,new_individual
5394,new_individual
5395,new_individual
5396,new_individual
5397,new_individual
5398,new_individual
5399,new_individual
5400,new_individual
5401,new_individual
5402,new_individual
5403,new_individual
5404,new_individual
5405,new_individual
5406,new_individual
5407,new_individual
